RB	En
972.en	After the observatory obtained further confirmatory photographs, news of the discovery was telegraphed to the Harvard College Observatory on March 13, 1930.
973.en	Pterosaurs included the largest flying animals ever to have lived.
974.en	Leavitt's scientific work at Harvard was frequently interrupted by illness and family obligations.
975.en	Debye calculated the effect of temperature on X-ray diffraction patterns of crystalline solids with Paul Scherrer (the "Debye–Waller factor").
976.en	He assisted Nevanlinna in 1929 with his work on Denjoy's conjecture on the number of asymptotic values of an entire function.
977.en	The complete set of observable traits that make up the structure and behaviour of an organism is called its phenotype.
978.en	The Bible is the most translated book in the world.
979.en	In this paper, he showed that there was a contradiction between Carnot's principle and the concept of conservation of energy.
980.en	The New York Herald was the first major newspaper on the East Coast to report the discovery of gold.
981.en	Most cases of diabetes involve many genes, with each being a small contributor to an increased probability of becoming a type 2 diabetic.
982.en	On July 17 a ceasefire was signed.
983.en	The British promised compensation, favourable business agreements, non-interference in Icelandic affairs, and the withdrawal of all forces at the end of the war.
984.en	The classic symptoms are frequent urination, increased thirst, increased hunger, and weight loss.
985.en	The Christian festival of Christmas celebrates the birth of Jesus Christ.
986.en	The first European to sight the island after the height of the Little Ice Age was William Baffin in 1616.
987.en	Two months after the end of the war, Queen Mary's youngest son, John, died at the age of thirteen.
988.en	Preparing to demonstrate the time machine, Doc sets the date to November 5, 1955: the day he conceived a time travel device.
989.en	Two shorter figures are carved into the front throne alongside his legs: these are his wife Tiye and mother Mutemwiya.
990.en	The question is whether the world has a beginning in time, or whether it has existed from eternity.
991.en	Sverre sailed south with a large fleet.
992.en	He currently is a free player.
993.en	The differential diagnosis can be complicated somewhat if the person exhibits only vomiting or diarrhea (rather than both).
994.en	Americans spend $2.9 billion on over-the-counter drugs and another $400 million on prescription medicines for symptom relief.
995.en	The 14-year-old Elizabeth made her first radio broadcast during the BBC's Children's Hour, addressing other children who had been evacuated from the cities.
996.en	The attitude to educating women in medical fields in Italy appears to have been more liberal than in other places.
997.en	The precise use of the flag is regulated by laws passed by the 58th executive meeting of the State Council held in Beijing.
998.en	Jesus is taken down from the cross and is buried.
999.en	Later work re-interpreted these results as a tendency to test ideas in a one-sided way, focusing on one possibility and ignoring alternatives.
1000.en	Three years later, Justinian II considered himself strong enough to invade Bulgaria and restore his rule over these lands.
1001.en	There's a lot of poverty and unemployment.
1002.en	The point was shared equally between drivers sharing the fastest lap.
1003.en	She died in 1245, still waiting for her son to return.
1004.en	Speaking about the title and concept of the album, Gaga explained: "The Fame is about how anyone can feel famous."
1005.en	Within five hours, 10 battleships, five battlecruisers, four light cruisers, and 32 torpedo boats sank in Scapa Flow.
1006.en	The emperor was unwilling to consider this.
1007.en	Thus any search for evidence in favor of a hypothesis is likely to succeed.
1008.en	A supply of easily accessible uncontaminated water and good sanitation practices are important for reducing rates of infection and clinically significant gastroenteritis.
1009.en	Tasman, his navigator Visscher, and his merchant Gilsemans also mapped substantial portions of Australia, New Zealand and the Pacific Islands.
1010.en	He was the son of a Jewish merchant.
1011.en	Onchocerciasis, also known as river blindness, is a disease caused by infection with the parasitic worm Onchocerca volvulus.
1012.en	They are nocturnal and generally live alone.
1013.en	Religion is, indeed, the self-consciousness and self-esteem of man who has either not yet won through to himself, or has already lost himself again.
1014.en	The Coppa Italia (Italian for Italy Cup) is an Italian football annual cup competition.
1015.en	In 1944, the German Army occupied Hungary.
1016.en	They feed on just about any moving animal they encounter.
1017.en	In the developing world, especially sub-Saharan Africa and Asia, cholera is a common cause of gastroenteritis.
1018.en	They fly rapidly and are difficult to catch.
1019.en	They can live for up to 25 years.
1020.en	The common cold is the most frequent infectious disease in humans.
1021.en	Pappus of Alexandria stated that Archimedes had written a now lost manuscript on the construction of these devices entitled On Sphere-Making.
1022.en	The first meeting of the new Parliament took place on 12 May 1999.
1023.en	Marsh uncovered the first pterosaur fossils found in America.
1024.en	The family lives in New York.
1025.en	From 1499 to 1528, the Republic reached its nadir, being under nearly continual French occupation.
1026.en	Geothermal energy is thermal energy which is derived from the earth's internal heat.
1027.en	In its invasion of China, Japan employed some 50,000 bicycle troops.
1028.en	Nonkilling refers to the absence of killing, threats to kill, and conditions conducive to killing in human society.
1029.en	It is also used as a police dog.
1030.en	Amalric sought an alliance with Emperor Manuel and invaded Egypt once more.
1031.en	After death, the king must first rise from his tomb.
1032.en	A large eruption resulted in the deaths of nineteen people.
1033.en	They are very territorial and aggressive both towards their own species and others.
1034.en	Thus, ancestral temples are in front of the palace.
1035.en	She has two older brothers, Ryan and Spencer, who are also actors.
1036.en	She was interested in medicine, and also manufactured her own medicines.
1037.en	By 1582 there were as many as 150,000 converts (two percent of the population) and 200 churches.
1038.en	The life expectancy in the wild is approximately 20 years, while in captivity is up to 30 years.
1039.en	There should be a readjustment of the frontiers of Italy to be effected along clearly recognizable lines of nationality.
1040.en	Although arable land accounts for only 1% of Namibia, nearly half of the population is employed in agriculture.
1041.en	Children infected with rotavirus usually make a full recovery within three to eight days.
1042.en	His death marked the effective end of the Bulgarian Empire.
1043.en	The city was never completed and it was finally abandoned a century later when the Assyrian empire fell.
1044.en	Construction work began on the wall and gate of the cemetery.
1045.en	Queen Victoria and Prince Albert were determined that their eldest son should have an education that would prepare him to be a model constitutional monarch.
1046.en	Like the Sumatran rhino, it needs salt in its diet.
1047.en	This book is preserved in manuscript.
1048.en	This vaccine may also prevent illness in non-vaccinated children by reducing the number of circulating infections.
1049.en	In summer the temperature reaches 35 degree Celsius.
1050.en	It would end with Napoleon’s total defeat.
1051.en	One study found that 17% of children with DKA were initially diagnosed as having gastroenteritis.
1052.en	What have survived are eighty-nine ballate for two voices, forty-two ballate for three voices, and another nine which exist in both two and three-voice versions.
1053.en	Oxygen has three stable isotopes, 16O, 17O, and 18O.
1054.en	To ensure the monitoring and verification of the ceasefire by the OSCE.
1055.en	A standard IMAX screen is 22m wide and 16m tall, but there are screens with even larger dimensions.
1056.en	As the Tower was considered an impregnable fortress in a strategically important position, possession was highly valued.
1057.en	He became a deacon in 1093, and a priest in 1107.
1058.en	He was discovered by a police officer who took him to a Hafen hospital where he was pronounced dead.
1059.en	The fools then quarrel with each other.
1060.en	An indemnity of 40 million francs to France was also provided for in the treaty.
1061.en	The person may want to keep something confidential and have access to the information that has been collected.
1062.en	His endeavour was in no way limited to Polish language and literature; gradually he learnt a considerable number of languages and became a true polyglot.
1063.en	On 9 November 1989, the East German government announced the opening of the Berlin Wall and the inner German border.
1064.en	Speaking at a Moscow press conference, she declared that the Russians were "just like us".
1065.en	From the window one can see the third courtyard.
1066.en	There is also evidence of at least one temple priest.
1067.en	The Roman historian Suetonius described this war as the most difficult conflict faced by Rome since the Punic Wars two centuries earlier.
1068.en	Malta is in the middle of the Mediterranean Sea directly south of Italy and north of Libya.
1069.en	They include 12 Emperors and 18 Empresses.
1070.en	Some is still used for making furniture.
1071.en	A population that satisfies these conditions is said to be in Hardy–Weinberg equilibrium.
1072.en	She flirts with every man she meets.
1073.en	While he is incarcerated, his sister dies alone.
1074.en	This is similar to the Curie temperature as above the Néel Temperature the material undergoes a phase transition and becomes paramagnetic.
1075.en	His best result was a fourth place.
1076.en	Toward the end of the 18th century, Charles Messier compiled a catalog containing the 109 brightest celestial objects having nebulous appearance.
1077.en	A few of the poems had previously been published in the daily “Al-Quds” (London, 1996) and the periodical “Nizwa” (Sultanate of Oman, 1999).
1078.en	H2 reacts with every oxidizing element.
1079.en	He is involved in the European People's Party.
1080.en	SnatchBot also provides free Natural Language Processing models.
1081.en	In the United States, 23–41% of dogs are overweight, and about 5.1% are obese.
1082.en	Such competition provided greater opportunity for Ukrainian Canadian children to learn to speak the Ukrainian language.
1083.en	Italian astronomer Giuseppe Piazzi makes the first discovery of an asteroid, Ceres, which is briefly considered to be the eighth planet.
1084.en	Actual euro coins and banknotes followed on 1 January 2002.
1085.en	Even today, the impact of the reforms can still be seen in Japanese cultural life.
1086.en	She is the prettiest girl in school.
1087.en	The County of Edessa was the first of the crusader states to be established during and after the First Crusade.
1088.en	In April 175, Avidius Cassius, Governor of Syria, declared himself Emperor following rumours that Marcus Aurelius had died.
1089.en	In short, composition of maps is always associative.
1090.en	Backed by American air and artillery support, South Vietnamese troops invaded Laos.
1091.en	It is not generally possible to contract syphilis through toilet seats, daily activities, hot tubs, or sharing eating utensils or clothing.
1092.en	These gaps were subsequently filled as chemists discovered additional naturally occurring elements.
1093.en	The name comes from the French spelling of the mythological character Ariadne.
1094.en	It was referred to as "the great imitator" by Sir William Osler due to its varied presentations.
1095.en	In those with vague symptoms, diagnosis can be difficult because bacteria may be present without there being an infection.
1096.en	One hour of time is divided into 60 minutes, and one minute is divided into 60 seconds.
1097.en	There are ten major ports in France, the largest of which is in Marseille, which also is the largest bordering the Mediterranean Sea.
1098.en	At some point, Genik met Joseph Oleskiw, a man who had been encouraging immigration by Ukrainians to Canada.
1099.en	From 1871 it was part of the German Empire.
1100.en	People with a family history of schizophrenia who have a transient psychosis have a 20–40% chance of being diagnosed one year later.
1101.en	From then on Akureyri started to grow because of the excellent port conditions and perhaps more because of the productive agricultural region around it.
1102.en	Diagnosis of early disease is by finding the parasite in the blood using a microscope.
1103.en	This is considered to be the first Dutch rock 'n' roll record.
1104.en	Some causes are associated with classic, but non-specific, clinical characteristics.
1105.en	His leadership and military success during the wars made him a national hero.
1106.en	The European Union forms in 1992 under the Maastricht Treaty.
1107.en	Like many of the Germanic tribes, the Burgundians' legal traditions allowed the application of separate laws for separate ethnicities.
1108.en	Formerly a land of woods and bogs, the Principality of Tver was quickly transformed into one of the richest and most populous Russian states.
1109.en	Tiberius apparently feared for the safety of his wife and daughters.
1110.en	She interned for UNICEF for six months in New York City and worked for the division of Child Protective Services.
1111.en	Several measures to increase access to testing appear effective at reducing rates of congenital syphilis in low- to middle-income countries.
1112.en	He is named after the astronomer Galileo Galilei.
1113.en	It has a slow doubling time of greater than 30 hours.
1114.en	The volume of a 3-dimensional unit cube is 1 cubic unit, and its total surface area is 6 square units.
1115.en	Treatments recommended by the World Health Organization are the medications albendazole, mebendazole, levamisole, or pyrantel pamoate.
1116.en	An example is a specific single nucleotide polymorphism in the CD14 region and exposure to endotoxin (a bacterial product).
1117.en	After reclaiming his capital, the King built a temple in thankful worship.
1118.en	In the early 20th century, the psychiatrist Kurt Schneider listed the forms of psychotic symptoms that he thought distinguished schizophrenia from other psychotic disorders.
1119.en	Thus there are no total solar eclipses on Mars, as the moons are far too small to completely cover the Sun.
1120.en	In 1095 Pope Urban II called for a crusade against Muslims occupying Jerusalem and the Holy Land.
1121.en	It is mentioned for the first time in the 12th century.
1122.en	The award included $37,200, the largest amount awarded to any individual in NASA's history.
1123.en	His name comes from the last two digits of a bar code on the back of his head.
1124.en	Some sharks lose 30,000 or more teeth in their lifetime.
1125.en	The Sumerians used slaves, although they were not a major part of the economy.
1126.en	To that end, many of the elephants were especially large, often weighing in excess of nine tons.
1127.en	Of the €9.8 billion of humanitarian aid provided worldwide in 2010, some 41% was delivered by the EU.
1128.en	This has been attributed to unsafe sexual practices, such as sexual promiscuity, prostitution, and decreasing use of barrier protection.
1129.en	Family history is a risk factor for asthma, with many different genes being implicated.
1130.en	It is known, however, that his parents were not affectionate towards him and showed him very little love.
1131.en	Claude inherited his father's title of Earl of Strathmore and Kinghorne in 1904, whereupon Cecilia became Countess of Strathmore and Kinghorne.
1132.en	The Battle of Svolder is mentioned in a number of historical sources.
1133.en	The Christian Emperor Theodosius introduced legislation that banned pagan rites and closed temples.
1134.en	If viewed from Mars's surface near its equator, full Phobos looks about one third as big as a full moon on Earth.
1135.en	Primary syphilis is typically acquired by direct sexual contact with the infectious lesions of another person.
1136.en	There have been many failed attempts to connect Sumerian to other language families.
1137.en	A large YPA armoured convoy set off from Belgrade on the morning of 3 July, ostensibly to go to Slovenia.
1138.en	In 857 a chapel was built in Vlamertinge.
1139.en	The venture was unsuccessful; and Orlenev returned to Russia while Nazimova stayed in New York.
1140.en	The Fiat 3000 was the first tank to be produced in series in Italy.
1141.en	The World Health Organization estimates that one in three newborn infant deaths is due to pneumonia.
1142.en	Twelve foreign nationals were killed in the conflict, principally journalists and Bulgarian truck drivers who had strayed into the line of fire.
1143.en	All dates are given according to the Julian calendar.
1144.en	She died after falling from a horse.
1145.en	The prognosis for asthma is generally good, especially for children with mild disease.
1146.en	First, it was assumed correctly that Syria would not go to war with Israel unless Egypt did so as well.
1147.en	In 1829, Johann Wolfgang Döbereiner observed that many of the elements could be grouped into triads based on their chemical properties.
1148.en	The very steep stairways represent the difficulty of ascending to the kingdom of the gods.
1149.en	On 1 January 2007, Irish became an official working language of the EU.
1150.en	All documents are downloadable on the website library.
1151.en	Greek olives and olive oil were exported to the rest of the Empire.
1152.en	In Christian teachings, vanity is an example of pride, one of the seven deadly sins.
1153.en	His father and grandfather were both London vintners, and several previous generations had been merchants in Ipswich.
1154.en	The plant can live a number of years before it will flower.
1155.en	Tito was notable for pursuing a foreign policy of neutrality during the Cold War and for establishing close ties with developing countries.
1156.en	Other drugs may be used only as coping mechanisms by people who have schizophrenia, to deal with depression, anxiety, boredom, and loneliness.
1157.en	The Constitution is more than a written text.
1158.en	Argon has approximately the same solubility in water as oxygen and is 2.5 times more soluble in water than nitrogen.
1159.en	The site is now a protected heritage site of Namibia, and visiting is only permitted with official guides.
1160.en	The F 2 prototype appeared in 1938, but differed only in detail from its predecessor.
1161.en	Social factors include the cultural aspects and health consciousness, population growth rate, age distribution, career attitudes and emphasis on safety.
1162.en	Ancient Romans boiled soured wine to produce a highly sweet syrup called sapa.
1163.en	In 1968, she married Greek shipping magnate Aristotle Onassis.
1164.en	In the 2005–06 season, he was again plagued with injuries.
1165.en	Live albums may be recorded at a single concert, or combine recordings made at multiple concerts.
1166.en	He also develops a thirst for blood.
1167.en	People with greater negative symptoms often have a history of poor adjustment before the onset of illness, and response to medication is often limited.
1168.en	She raised the children by herself.
1169.en	Relations with the United States and Western European nations were generally cordial.
1170.en	Lee was forced to change his plans.
1171.en	RETScreen is widely used to facilitate and implement clean energy projects.
1172.en	After studying painting at the Rhode Island School of Design, he moved into the field of photography.
1173.en	After the organisation of three more conferences in 2003, 2005 and 2007, SDEWES Centre was established in 2009.
1174.en	Rising costs and the lack of a clear market led to its cancellation in 1971 before two prototypes had been completed.
1175.en	In 1206, Theodore proclaimed himself emperor at Nicaea.
1176.en	The introduction begins by proclaiming: "A spectre is haunting Europe—the spectre of communism."
1177.en	Although CENELEC works closely with the European Union, it is not an EU institution.
1178.en	One of the potential side effects of treatment is the Jarisch-Herxheimer reaction.
1179.en	Males are affected 50% more frequently than are females, and there is an increased prevalence in autumn.
1180.en	Bhutan became a member of the United Nations in 1971.
1181.en	SMILES strings can be imported by most molecule editors for conversion back into two-dimensional drawings or three-dimensional models of the molecules.
1182.en	So Jesus has two natures, one human and one divine.
1183.en	40,000 people were placed under investigation; of these, more than 2,200 government officials and 4,000 police officers were purged.
1184.en	The first model entered service in 1952, and replaced the Mi-1.
1185.en	He played only one match against Australia there.
1186.en	The Reichstag, Germany's parliament building in Berlin, was set on fire.
1187.en	Since croup is usually a viral disease, antibiotics are not used unless secondary bacterial infection is suspected.
1188.en	And see for yourself: in the Soviet Union, everyone is for peace and friendship among peoples.
1189.en	Most oil fields are much smaller.
1190.en	The CDC recommends that sexually active men who have sex with men be tested at least yearly.
1191.en	The ancient Republic of Venice was partitioned between Austria and France.
1192.en	By the end of September the stock had fallen to £150.
1193.en	A successor, ARM3, was produced with a 4 KB cache, which further improved performance.
1194.en	Prevention is by improved sanitation, which includes improving access to toilets and proper disposal of feces.
1195.en	It is also the most eastern village in Switzerland.
1196.en	The Liber is one of the primary sources for contemporary Burgundian life, as well as the history of its kings.
1197.en	From May to September, rain in Israel is rare.
1198.en	This standard was dubbed MIDI (Musical Instrument Digital Interface).
1199.en	The Byzantines, however, eventually recovered, and in 1014, under Basil II, inflicted a crushing defeat on the Bulgarians at the Battle of Kleidion.
1200.en	He assisted his father in writing The Natural Arrangement of British Plants (1821).
1201.en	He married Russian mathematician Tatyana Alexeyevna Afanasyeva, who collaborated with him in his work.
1202.en	This exotic form of matter is known as degenerate matter.
1203.en	In addition to offensive techniques, defensive techniques are also available.
1204.en	The capital is the city of Coronel Oviedo.
1205.en	Back in Albania, Moisiu continued his military career in the engineers' department of the Ministry of Defense.
1206.en	It is central to some philosophical theories of history, such as those of Hegel and Marx.
1207.en	Global rates of asthma have increased significantly between the 1960s and 2008 with it being recognized as a major public health problem since the 1970s.
1208.en	A secret treaty was concluded between the Ottoman Empire and the German Empire on August 2, 1914.
1209.en	The type material consists of teeth.
1210.en	Christopher Columbus used this on his transatlantic voyages.
1211.en	Janszoon proceeded to chart some 320 kilometres (199 miles) of the coastline, which he thought was a southerly extension of New Guinea.
1212.en	The oldest rocks on Earth are found in the North American craton of Canada.
1213.en	My God, my God, why have you forsaken me?
1214.en	The mass of the oceans is approximately 1.35×1018 metric tons or about 1/4400 of Earth's total mass.
1215.en	In 1906 a committee for the construction of the church was created.
1216.en	Amphetamine, cocaine, and to a lesser extent alcohol, can result in a transient stimulant psychosis or alcohol-related psychosis that presents very similarly to schizophrenia.
1217.en	Harriet Taylor Mill was a British philosopher and women's rights advocate.
1218.en	Miss Universe is an annual international beauty contest that is run by the Miss Universe Organization.
1219.en	Asthma was known as one of the "holy seven" psychosomatic illnesses.
1220.en	Within Iraq, it is known as the "city of mosques" for the more than 200 mosques found in the city and the surrounding villages.
1221.en	It is estimated that 30-40 vehicles have sunk into the lake over the years.
1222.en	The inaugural race was held in 1929 and was won by William Grover-Williams in a Bugatti.
1223.en	The Mediterranean Sea to the south separates Europe from Africa.
1224.en	The contaminated clothing has to be removed.
1225.en	The Allied armies attempted to halt the German Army in Belgium, believing it to be the main German thrust.
1226.en	This is what gives rise to color.
1227.en	That meant facing what will be called the Turkish War of Independence.
1228.en	Dmitri Mendeleev presented the first periodic table to the Russian Chemical Society.
1229.en	During this time there was large scale famine.
1230.en	Creation of a broadly effective vaccine is, thus, highly improbable.
1231.en	The injury kept him out of play for 1 year and half.
1232.en	The system of Japanese numerals is the system of number names used in the Japanese language.
1233.en	She is kind towards the children, but can be firm when needed.
1234.en	For more severe cases, intravenous fluids may be needed.
1235.en	The accounts of his death are contradictory.
1236.en	I think life without tension would be very boring and useless.
1237.en	While the cause of the common cold has only been identified since the 1950s, the disease has been with humanity throughout history.
1238.en	Further pictures relate important events from the country's history.
1239.en	A very favorable apparition followed in 1879, allowing the comet to be observed for the longest time to date – four months.
1240.en	Complications are either directly caused by obesity or indirectly related through mechanisms sharing a common cause such as a poor diet or a sedentary lifestyle.
1241.en	It is a major cause of death among all age groups resulting in 4 million deaths (7% of the world's total death) yearly.
1242.en	Mother-to-child transmission of hepatitis C occurs in less than 10% of pregnancies.
1243.en	The issuance of the currency is controlled by the Reserve Bank of India.
1244.en	Phobos rises in the west, sets in the east, and rises again in just 11 hours.
1245.en	Joscelin was blinded and died in his prison in Aleppo in 1159.
1246.en	In 1980 he received his doctorate for a dissertation on the problems of Austrian defence policy.
1247.en	The formation of stars occurs exclusively within molecular clouds.
1248.en	The oral cholera vaccine has been found to be 50–60% effective over 2 years.
1249.en	Rabbi Ahron Daum is a prolific author who has written on a diverse scope of topics within the field of Jewish studies.
1250.en	Those who quit smoking gain an average of 4.4 kilograms (9.7 lb) for men and 5.0 kilograms (11.0 lb) for women over ten years.
1251.en	As a result, obesity has been found to reduce life expectancy.
1252.en	This could be partly explained by the fact that having dependent children decreases physical activity in Western parents.
1253.en	In 1950, the club was dissolved but re-founded later the same year.
1254.en	Other measures include improving access to sanitation such as ensuring use of functional and clean toilets and access to clean water.
1255.en	This was the first series to be made in colour.
1256.en	In 1945 the previous situation was restored.
1257.en	Human parainfluenza virus typically results in inflammation of the nose, throat, and bronchi.
1258.en	Gross domestic product is the value of all final goods and services produced within a nation in a given year.
1259.en	Since 1893 the Corinth Canal has run through the 6.3 km wide isthmus, effectively making the Peloponnese an island.
1260.en	German South West Africa was the only German colony in which Germans settled in large numbers.
1261.en	Most pears are deciduous, but one or two species in southeast Asia are evergreen.
1262.en	The estimate range for annual expenditures on diet products is $40 billion to $100 billion in the US alone.
1263.en	In 1871 Richard Dedekind called a set of real or complex numbers which is closed under the four arithmetic operations a field.
1264.en	Her influence over her husband was great, and in general beneficial.
1265.en	If infection is only with a few worms, there are often no symptoms.
1266.en	A woman's risk increases by 7% per child, while a man's risk increases by 4% per child.
1267.en	Initial assessment of the hypertensive people should include a complete history and physical examination.
1268.en	Hugbert started the implementation of his predecessor's plan to create an independent Bavarian church.
1269.en	Then she spent a year in Budapest working for a local radio station.
1270.en	The Catholic Church honours him as a saint.
1271.en	And you ask are we doing anything so that war will not break out.
1272.en	Cox fixed many of these bugs and went on to rewrite much of the networking subsystem.
1273.en	During the 20th century, as populations reached their genetic potential for height, weight began increasing much more than height, resulting in obesity.
1274.en	The list is published annually by Fortune magazine.
1275.en	According to special relativity, two observers moving relative to each other must use different time coordinates.
1276.en	The Solar System has been relatively well-studied, initially through telescopes and then later by spacecraft.
1277.en	Young footballers take part in various events outside the official season.
1278.en	In the mid-9th century, Boris I decided to establish Christianity as a state religion in Bulgaria.
1279.en	It is the simplest organic nitro compound.
1280.en	Equivalently, an edge is a bridge if and only if it is not contained in any cycle.
1281.en	Researchers, therefore, conclude that reducing obesity may improve the public's health, but it is unlikely to reduce overall health spending.
1282.en	Some methods of birth control can be started immediately following the birth, while others require a delay of up to six months.
1283.en	Its emblem, like that of all Caesar's legions, was the bull, together with the lion.
1284.en	The 603 is notable due to its very low cost and power consumption.
1285.en	Therefore, Mathilde knows only a few words in Polish.
1286.en	She found particularly offensive the Foreign Secretary, Lord Palmerston, who often acted without consulting the Cabinet, the Prime Minister, or the Queen.
1287.en	Philip had to surrender his fleet and become a Roman ally, but was otherwise spared.
1288.en	The World Health Organization's 2009 classification divides dengue fever into two groups: uncomplicated and severe.
1289.en	Its first Director General was Stefan Demby, succeeded in 1934 by Stefan Vrtel-Wierczyński.
1290.en	Some research shows that obese people are less likely to be hired for a job and are less likely to be promoted.
1291.en	For the most part, the sea lies on the European continental shelf.
1292.en	It is named in honor of the French mathematician, philosopher and physicist Blaise Pascal.
1293.en	Mydoom, also known as W32.MyDoom@mm, Novarg, Mimail.R and Shimgapi, is a computer worm affecting Microsoft Windows.
1294.en	Meanwhile, Boniface's relatives from Montferrat made claims to Epirus as well, and in 1210 Michael allied with the Venetians and attacked Boniface's Kingdom of Thessalonica.
1295.en	In 777, he called a national diet at Paderborn to integrate Saxony fully into the Frankish kingdom.
1296.en	Caesar paid the soldiers with his own resources, but the legion was later recognized by the Roman Senate.
1297.en	The worm contains the text message "andy; I'm just doing my job, nothing personal, sorry," leading many to believe that the worm's creator was paid.
1298.en	Most of this extra food energy came from an increase in carbohydrate consumption rather than fat consumption.
1299.en	They should be taken one half to one hour before a meal.
1300.en	The Bulgar religion was monotheistic, linked to the cult to Tangra, the God of the Sky.
1301.en	The head is of medium length.
1302.en	He jointly won the Nobel Prize in Physics "for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos".
1303.en	A limited number of cases are due primarily to genetics, medical reasons, or psychiatric illness.
1304.en	This coincidentally has the same name in nearly every language.
1305.en	Certain articles from this book were written in Rabbinic Hebrew and were later separately published under the title "Iyunim b’Halacha".
1306.en	The first issue of National Geographic Magazine was published.
1307.en	In the developing world, women, men, and children from high social classes had greater rates of obesity.
1308.en	A peace between the Duchy and the Eastern Empire was signed in 680.
1309.en	The Persian leopard is said to be the largest of all the subspecies of leopards in the world.
1310.en	And the love story happens between them.
1311.en	André-Marie Ampère quickly repeated Ørsted's experiment, and formulated them mathematically.
1312.en	Dušan opened new trade routes and strengthened the economy of the state.
1313.en	In all cases, the age of these rocks is greater than 570 million years and sometimes dates back 2 to 3.5 billion years.
1314.en	This can be quite difficult and require much patience.
1315.en	During World War I, Germans brought in their specialists, who made several attempts to restore the castle.
1316.en	To be able to do so, he cut the edges of the folios, which resulted in fragments of the illumination being lost.
1317.en	On 26 November, food ran out.
1318.en	However, this did not affect her career.
1319.en	The Moon is Earth's only natural satellite.
1320.en	Prince Constantijn rarely attends public events in his capacity as a member of the Dutch Royal House.
1321.en	The convent was named Eyke (“oak”), for the oak trees that grew there.
1322.en	Saint Willibrord consecrated Harlindis as the first abbess of this religious community.
1323.en	Obesity in pets is common in many countries.
1324.en	On the occasion of the restoration, the manuscript was photographed at the Belgian Royal Institute for Cultural Heritage.
1325.en	Because shipwrecks around the islands were so common, for some time the Royal Navy dispatched a ship every few years to look for stranded survivors.
1326.en	Another important feature in his work is chamber music.
1327.en	His sarcophagus was destroyed but has been reconstructed and now sits outside in the Cairo Museum.
1328.en	However, their accounts must be examined with care, since they often mix facts with fiction and urban legends.
1329.en	The hull was laid down in April 1989 at the DCNS Brest naval shipyard.
1330.en	He believes that it is thus unlikely that anniversary specified in the inscription may date to the reign of Theodosius II.
1331.en	While in the Air Force, he was a member of an aircraft accident investigation board.
1332.en	Biodiesel can be used in pure form (B100) or may be blended with petroleum diesel at any concentration in most injection pump diesel engines.
1333.en	Eight columns, each ten metres tall, support a copper dome in the shape of a dervish's hat.
1334.en	The President supervises the Council of Ministers, coordinates government decisions, and selects government policies to be placed before the legislature.
1335.en	France would respect the clauses of the Treaty of Frankfurt in their entirety until 1914.
1336.en	A simple way to form a drop is to allow liquid to flow slowly from the lower end of a vertical tube of small diameter.
1337.en	Although most of the work had been carried out by 1860, construction was not finished until a decade afterwards.
1338.en	His father, Dominikus Böhm, was renowned for having built numerous churches throughout Germany.
1339.en	The vaccine should not be given to people who are pregnant or have very poor immune system function.
1340.en	The town is divided into two distinct parts: the old town and the new town.
1341.en	The President is the head of the state and represents the unity of the people of the Republic of Kosovo.
1342.en	Many artists have acknowledged Barrett's influence on their work.
1343.en	For a brief time she worked at circus.
1344.en	Galaxies undergoing such rapid star formation are known as starburst galaxies.
1345.en	A Nuclear War is a war in which nuclear weapons are used.
1346.en	The company is active in more than 170 countries worldwide.
1347.en	The metadata catalogue can be searched via an interactive search engine (Data tab) and through SPARQL queries (Linked data tab).
1348.en	His most notable achievement was the reconciliation between Germany and France, for which he and Aristide Briand received the Nobel Peace Prize.
1349.en	Athena was the goddess of wisdom and warriors and the protector of Athens.
1350.en	A civic guard, composed of mounted hunters and artillery, was formed.
1351.en	It is the only bridge across the Thames downstream of Central London to be opened since Tower Bridge in 1894.
1352.en	Komatsu produced its first agricultural tractor prototype in 1931.
1353.en	Lee had larger plans in mind.
1354.en	She graduated 23 January 2006 with a Bachelor of Arts in art history, ethnology and modern history.
1355.en	The republics would lose their role in defence matters, and their TOs would be disarmed and subordinated to JNA headquarters in Belgrade.
1356.en	Pakistan's political history since independence has been characterized by periods of military rule, political instability and conflicts with India.
1357.en	This arrangement minimizes the chance of self-fertilisation.
1358.en	Later, in the 1960s, he was an active opponent of the Vietnam War.
1359.en	He himself vowed this in several interviews.
1360.en	The use of acid-suppressing medications – such as proton-pump inhibitors or H2 blockers – is associated with an increased risk of pneumonia.
1361.en	In many countries, drug overdoses account for approximately 60% of suicides among women and 30% among men.
1362.en	A Schmidt camera, also referred to as the Schmidt telescope, is a catadioptric astrophotographic telescope designed to provide wide fields of view with limited aberrations.
1363.en	The fortress at Przemyśl was the only Austrian post that held out and by September 28 was completely behind Russian lines.
1364.en	The amount of goods transported on the Danube increased to about 100 million tons in 1987.
1365.en	Hanthana also emphasizes accessibility and internationalization to reach as many people as possible.
1366.en	Several Indian trading ports, including Pondichéry and Chandernagore, remained under French control until 1954.
1367.en	The first commercial version, Android 1.0, was released on September 23, 2008.
1368.en	The original name of Oslo was restored in 1925.
1369.en	Most of the major temples, including the Parthenon, were rebuilt by order of Pericles during the so-called Golden Age of Athens (460–430 BC).
